Gen,Fit,Cat,Div,Loc,Comp,Unq,Tot,Hits
31590,319234,0,0.0192588,0.750399,0.159521,0.847093,37,7,110606
32400,319234,0,0.0201449,0.745652,0.165217,0.842029,37,7,112067
32880,318440,0,0.0199834,0.746517,0.164179,0.842952,38,8,113030
33630,318440,0,0.0179545,0.757387,0.151136,0.854546,38,8,114358
33780,318440,0,0.0179545,0.757387,0.151136,0.854546,38,8,114653
34080,318440,0,0.0176646,0.757387,0.151136,0.854546,38,8,115174
34440,318440,0,0.0176646,0.75894,0.149272,0.856202,38,8,115842
34500,318440,0,0.0176646,0.75894,0.149272,0.856202,38,8,115948
34650,318440,0,0.0181615,0.756278,0.152467,0.853363,38,8,116215
35100,318440,0,0.02,0.746429,0.164286,0.842857,39,9,117045
35280,318440,0,0.02,0.746429,0.164286,0.842857,39,9,117401
35880,318440,0,0.02,0.746429,0.164286,0.842857,39,9,118614
36150,318440,0,0.0268323,0.709827,0.208208,0.803815,39,9,119172
37380,318440,0,0.0268323,0.709827,0.208208,0.803815,39,9,121890
37680,318430,0,0.0288903,0.698802,0.221437,0.792056,40,9,122602
38100,318430,0,0.0333209,0.675067,0.24992,0.766738,40,9,123591
39570,318430,0,0.0369068,0.655856,0.272972,0.746247,40,9,126646
40320,318430,0,0.0325342,0.679281,0.244862,0.771233,41,10,128264
40350,318430,0,0.0325342,0.679281,0.244862,0.771233,41,10,128292
40890,318430,0,0.0325342,0.679281,0.244862,0.771233,41,10,129490
41460,318430,0,0.0325342,0.679281,0.244862,0.771233,41,10,130610
42000,318430,0,0.0325342,0.679281,0.244862,0.771233,41,10,131680
43140,318430,0,0.0290807,0.697782,0.222662,0.790967,42,11,134159
43680,318430,0,0.02906,0.697893,0.222529,0.791085,42,11,135262
43770,318430,0,0.02906,0.697893,0.222529,0.791085,42,11,135492
44340,318430,0,0.02906,0.697893,0.222529,0.791085,42,11,136706
44880,318430,0,0.0261325,0.713576,0.203709,0.807814,42,11,137889
45660,318073,0,0.0300745,0.692458,0.229051,0.785288,43,11,139652
45750,318073,0,0.0298675,0.692458,0.229051,0.785288,43,11,139858
45780,318073,0,0.0298675,0.693567,0.22772,0.786471,43,11,139945
46200,318073,0,0.0371511,0.654547,0.274543,0.744851,43,11,140881
46350,318073,0,0.0426791,0.624933,0.31008,0.713262,43,11,141234
46440,318073,0,0.0430932,0.622715,0.312742,0.710896,43,11,141439
46980,318073,0,0.036029,0.660559,0.267329,0.751263,43,11,142609
47250,318073,0,0.0347867,0.667214,0.259343,0.758361,43,11,143234
47550,317552,0,0.031354,0.685603,0.237276,0.777977,44,11,143827
47820,317552,0,0.031354,0.685603,0.237276,0.777977,44,11,144472
47910,317552,0,0.031354,0.685603,0.237276,0.777977,44,11,144688
48000,317552,0,0.031354,0.685603,0.237276,0.777977,44,11,144914
48180,317552,0,0.031354,0.685603,0.237276,0.777977,44,11,145374
48390,317552,0,0.0296149,0.69492,0.226096,0.787915,44,11,145860
48600,317552,0,0.0288489,0.699024,0.221171,0.792292,44,11,146313
48690,317552,0,0.0288489,0.699024,0.221171,0.792292,44,11,146513
49230,317552,0,0.0281656,0.702684,0.216779,0.796196,44,11,147589
49350,317552,0,0.0281656,0.702684,0.216779,0.796196,44,11,147900
49440,317552,0,0.0281656,0.702684,0.216779,0.796196,44,11,148124
49890,317552,0,0.0261822,0.71331,0.204028,0.80753,44,11,149070
50010,317552,0,0.0261822,0.71331,0.204028,0.80753,44,11,149316
