2430,333959,0,1,0,2,3,4,5,6,6,6,5,0,5,3,7,8,9,10,7,6,11,7,4,12,6,7,13,14,1,10,2,15,16,11,11,17,18,5,8,13,18,17,7,19,19,2,8,12,13,7,17,12,16,17,11,4,5,16,13,18,13,5,2,7,13,7,17,20,1,4,12,4,1,14,19,10,0,12,9,6,12,14,18,20,9,14,16,20,12,16,2,14,9,20,14,7,19,7,15,18,17,1,0,15,6,12,3,9,19,13,14,14,2,2,7,12,20,9,13,13,7,10,5,2,10,12,0,11,18,1,7,18,7,14,16,10,12,8,15,11,8,12,4,2,10,4,1,10,11,17,14,12,1,17,2,5,14,15,3,10,13,20,10,18,1,9,18,3,1,11,6,9,15,20,20,4,6,8,6,12,14,16,5,1,11,5,3,1,13,13,19,16,6,16,6,3,18,5,1,6,14,19,5,16,19,20,4,1,3,9,19,12,0,8,11,8,3,3,0,18,3,1,9,1,1,11,9,1,11,2,3,16,7,9,17,15,0,1,12,3,6,20,20,4,16,17,6,15,10,8,20,19,9,16,17,1,1,20,1,15,15,16,19,8,17,20,15,17,18,1,16,1,8,8,10,9,18,12,15,11,13,8,18,4,0,18,17,0,5,4,15,9,1,19,5,11,12,4,10,18,19,19,0,10,6,19,13,0,9,11,2,5,5,19,19,1,13,13,10,16,0,6
2520,333762,0,1,0,2,3,4,5,6,6,6,7,0,7,3,8,9,10,11,8,6,5,8,4,12,6,8,13,14,1,11,2,15,16,5,5,17,18,7,9,13,18,17,8,19,19,2,9,12,13,7,17,12,16,17,5,4,7,16,13,18,13,7,2,8,13,8,17,20,1,4,12,4,1,14,19,11,0,12,10,6,12,14,18,20,10,14,16,20,12,16,2,14,10,20,14,8,19,8,15,8,17,1,0,15,6,12,3,10,19,13,14,14,2,2,8,12,20,10,11,13,8,11,7,2,11,12,0,5,18,1,8,18,8,14,16,11,12,9,15,5,9,12,4,2,11,4,1,11,5,17,14,12,1,17,2,7,14,15,3,11,13,6,13,18,1,10,18,3,1,6,20,10,15,20,20,4,6,9,6,12,14,16,4,1,5,7,3,1,13,13,19,16,6,16,6,3,18,7,1,6,14,19,7,16,19,20,4,1,3,10,19,12,0,9,5,9,3,3,0,18,3,1,10,1,1,5,10,1,5,2,3,16,8,10,17,15,0,1,12,3,6,20,20,4,16,17,6,15,11,9,20,19,10,16,17,1,1,20,1,15,15,16,19,9,17,20,15,17,18,1,16,1,9,9,11,10,18,12,15,5,13,9,18,4,0,18,17,0,7,4,15,10,1,19,7,5,12,4,11,18,19,19,0,11,6,19,13,0,10,5,2,7,4,19,19,1,13,13,11,16,0,6
2670,333036,0,1,0,2,3,4,5,6,6,6,7,0,7,3,8,9,10,11,8,6,5,8,4,12,6,8,13,14,1,11,2,15,16,5,5,17,18,7,9,11,18,17,8,19,19,2,9,12,13,7,17,12,16,17,5,4,7,16,13,18,13,7,2,8,13,8,17,20,1,4,12,4,1,14,19,11,0,12,10,6,12,14,18,20,10,14,16,20,12,16,2,14,10,20,14,8,19,8,15,8,17,1,8,15,6,12,3,10,19,13,14,14,2,2,15,12,20,10,13,13,8,11,7,2,11,12,0,5,0,1,8,18,8,14,16,11,12,9,15,5,9,12,4,2,11,4,1,11,5,17,14,12,1,17,2,7,14,15,3,11,13,6,13,18,1,10,18,3,1,6,20,10,15,20,20,4,6,9,6,12,14,16,4,1,5,7,3,1,13,13,19,16,6,16,6,3,18,7,1,6,14,19,7,16,19,20,4,1,3,10,19,12,0,9,5,9,3,3,0,18,3,1,10,1,1,5,10,1,5,2,3,16,8,10,17,15,0,1,12,3,6,20,20,4,16,17,6,15,11,9,20,19,10,16,17,1,1,20,1,15,15,16,19,9,17,20,15,17,18,1,16,1,9,9,11,10,18,12,15,5,13,9,18,4,0,18,17,0,7,4,15,10,1,19,7,5,12,4,11,18,19,19,8,11,6,19,13,0,10,5,2,7,4,19,19,1,13,13,11,16,0,6
3120,331190,0,1,0,2,3,4,5,6,6,6,7,0,7,3,8,9,10,11,8,6,5,8,4,12,6,8,13,14,1,11,2,15,16,5,5,17,18,7,9,11,18,17,8,19,19,2,9,12,13,7,17,12,16,17,5,4,7,16,13,18,13,7,2,8,13,8,17,20,1,4,12,4,1,14,19,11,0,12,10,6,12,14,18,20,10,14,12,20,12,16,2,18,10,20,18,8,19,8,15,8,17,1,8,15,6,12,3,10,19,13,14,14,2,2,15,12,20,10,13,13,8,11,7,2,11,12,0,5,0,1,8,14,8,14,16,11,12,9,15,5,9,12,4,2,11,4,1,11,5,17,18,16,1,17,2,7,14,15,3,11,13,6,13,14,1,10,14,9,1,6,20,10,15,20,20,4,6,9,6,12,18,16,4,1,5,7,18,1,13,13,19,16,6,16,6,3,18,7,1,6,14,19,7,16,19,20,4,1,3,10,19,12,0,9,5,9,18,3,0,18,3,1,10,1,1,5,10,1,5,2,9,16,8,10,17,15,0,1,12,18,6,20,20,4,16,17,6,15,16,9,20,19,10,7,17,1,1,20,1,15,15,16,19,9,17,20,15,17,3,1,16,1,9,9,11,10,3,12,15,5,13,3,18,4,0,18,17,0,7,4,15,10,1,19,7,5,12,4,11,18,19,19,8,11,6,19,13,0,10,5,2,7,4,19,19,1,13,13,11,16,0,6
3870,329209,0,1,0,2,3,4,5,6,6,6,7,8,7,3,9,8,10,11,12,6,5,12,4,13,6,12,14,15,1,11,2,16,17,5,5,18,9,7,3,11,15,18,12,19,19,2,3,13,14,7,18,13,17,18,5,4,7,17,14,9,14,7,2,12,14,12,18,20,1,4,13,4,1,15,19,11,0,13,10,6,13,9,9,20,10,15,13,20,13,17,2,9,10,20,9,12,19,12,16,12,18,1,12,16,6,13,3,10,19,14,15,15,2,2,16,13,20,10,14,14,12,11,7,2,11,13,0,5,0,1,12,15,12,15,17,11,13,8,16,5,3,13,4,2,11,4,1,11,5,18,9,17,1,18,2,7,15,16,3,11,14,6,14,15,1,10,9,8,1,6,20,10,16,20,20,4,6,3,6,13,9,17,4,1,5,7,9,1,14,14,19,17,6,17,6,3,9,7,1,6,15,19,7,17,19,20,4,1,8,10,19,13,0,3,5,8,9,3,0,12,8,1,10,1,1,5,10,1,5,2,8,17,12,10,18,16,0,1,13,9,6,20,20,4,17,18,6,16,17,8,20,19,10,7,18,1,1,20,1,16,16,17,19,8,18,20,16,18,8,1,17,1,3,3,11,10,9,13,16,5,14,3,15,4,0,9,18,0,7,4,16,10,1,19,7,5,13,4,11,0,19,19,12,11,6,19,14,0,10,5,2,7,4,19,19,1,14,14,11,17,0,6
3900,329209,0,1,0,2,3,4,5,6,6,6,7,8,7,3,9,8,10,11,12,6,5,12,4,13,6,12,14,15,1,11,2,16,17,5,5,18,9,7,3,11,15,18,12,19,19,2,3,13,14,7,18,13,17,18,5,4,7,17,14,9,14,7,2,12,14,12,18,20,1,4,13,4,1,15,19,11,0,13,10,6,13,9,9,20,10,15,13,20,13,17,2,9,10,20,9,12,19,12,16,12,18,1,12,16,6,13,3,10,19,14,15,15,2,2,16,13,20,10,14,14,12,11,7,2,11,13,0,5,0,1,12,15,12,15,17,11,13,8,16,5,3,13,4,2,11,4,1,11,5,18,9,17,1,18,2,7,15,16,3,11,14,6,14,15,1,10,9,8,1,6,20,10,16,20,20,4,6,3,6,13,9,17,4,1,5,7,9,1,14,14,19,17,6,17,6,3,9,7,1,6,15,19,7,17,19,20,4,1,8,10,19,13,0,3,5,8,9,3,0,12,8,1,10,1,1,5,10,1,5,2,8,17,12,10,18,16,0,1,13,9,6,20,20,4,17,18,6,16,17,8,20,19,10,7,18,1,1,20,1,16,16,17,19,8,18,20,16,18,8,1,17,1,3,3,11,10,9,13,16,5,14,3,15,4,0,9,18,0,7,4,16,10,1,19,7,5,13,4,11,0,19,19,12,11,6,19,14,0,10,5,2,7,4,19,19,1,14,14,11,17,0,6
4050,329209,0,1,0,2,3,4,5,6,6,6,7,8,7,3,9,8,10,11,12,6,5,12,4,13,6,12,14,15,1,11,2,16,17,5,5,18,9,7,3,11,15,18,12,19,19,2,3,13,14,7,18,13,17,18,5,4,7,17,14,9,14,7,2,12,14,12,18,20,1,4,13,4,1,15,19,11,0,13,10,6,13,9,9,20,10,15,13,20,13,17,2,9,10,20,9,12,19,12,16,12,18,1,12,16,6,13,3,10,19,14,15,15,2,2,16,13,20,10,14,14,12,11,7,2,11,13,0,5,0,1,12,15,12,15,17,11,13,8,16,5,3,13,4,2,11,4,1,11,5,18,9,17,1,18,2,7,15,16,3,11,14,6,14,15,1,10,9,8,1,6,20,10,16,20,20,4,6,3,6,13,9,17,4,1,5,7,9,1,14,14,19,17,6,17,6,3,9,7,1,6,15,19,7,17,19,20,4,1,8,10,19,13,0,3,5,8,9,3,0,12,8,1,10,1,1,5,10,1,5,2,8,17,12,10,18,16,0,1,13,9,6,20,20,4,17,18,6,16,17,8,20,19,10,7,18,1,1,20,1,16,16,17,19,8,18,20,16,18,8,1,17,1,3,3,11,10,9,13,16,5,14,3,15,4,0,9,18,0,7,4,16,10,1,19,7,5,13,4,11,0,19,19,12,11,6,19,14,0,10,5,2,7,4,19,19,1,14,14,11,17,0,6
4650,328242,0,1,0,2,3,4,5,6,6,6,7,0,7,3,8,9,10,11,12,6,5,12,4,13,6,12,14,15,1,11,2,16,17,5,5,18,8,7,3,11,8,18,12,19,19,2,3,13,14,7,18,13,17,18,5,4,7,17,14,15,14,7,2,12,14,12,18,20,1,4,13,4,1,15,19,11,0,13,10,6,13,15,8,20,10,15,17,20,13,17,2,8,10,20,8,12,19,12,16,12,18,1,12,16,6,13,3,10,19,14,15,15,2,2,16,13,20,10,14,14,12,11,7,2,11,13,0,5,0,1,12,8,12,15,17,11,13,9,16,5,3,13,4,2,11,4,1,11,5,18,8,13,1,18,2,7,15,16,3,11,14,6,14,15,1,10,15,9,1,6,20,10,16,20,20,4,6,3,6,13,8,17,4,1,5,7,8,1,14,14,19,17,6,17,6,3,8,7,1,6,15,19,7,17,19,20,4,1,9,10,19,13,0,3,5,9,8,3,0,12,9,1,10,1,1,5,10,1,5,2,9,17,12,10,18,16,0,1,13,8,6,20,20,4,17,18,6,16,17,9,20,19,10,7,18,1,1,20,1,16,16,17,19,9,18,20,16,18,9,1,17,1,3,3,11,10,8,13,16,5,14,3,15,4,0,8,18,0,7,4,16,10,1,19,7,5,13,4,11,0,19,19,12,11,6,19,14,0,10,5,2,7,4,19,19,1,14,14,11,17,0,6
5190,328242,0,1,0,2,3,4,5,6,6,6,7,0,7,3,8,9,10,11,12,6,5,12,4,13,6,12,14,15,1,11,2,16,17,5,5,18,8,7,3,11,8,18,12,19,19,2,3,13,14,7,18,13,17,18,5,4,7,17,14,15,14,7,2,12,14,12,18,20,1,4,13,4,1,15,19,11,0,13,10,6,13,15,8,20,10,15,17,20,13,17,2,8,10,20,8,12,19,12,16,12,18,1,12,16,6,13,3,10,19,14,15,15,2,2,16,13,20,10,14,14,12,11,7,2,11,13,0,5,0,1,12,8,12,15,17,11,13,9,16,5,3,13,4,2,11,4,1,11,5,18,8,13,1,18,2,7,15,16,3,11,14,6,14,15,1,10,15,9,1,6,20,10,16,20,20,4,6,3,6,13,8,17,4,1,5,7,8,1,14,14,19,17,6,17,6,3,8,7,1,6,15,19,7,17,19,20,4,1,9,10,19,13,0,3,5,9,8,3,0,12,9,1,10,1,1,5,10,1,5,2,9,17,12,10,18,16,0,1,13,8,6,20,20,4,17,18,6,16,17,9,20,19,10,7,18,1,1,20,1,16,16,17,19,9,18,20,16,18,9,1,17,1,3,3,11,10,8,13,16,5,14,3,15,4,0,8,18,0,7,4,16,10,1,19,7,5,13,4,11,0,19,19,12,11,6,19,14,0,10,5,2,7,4,19,19,1,14,14,11,17,0,6
5220,328242,0,1,0,2,3,4,5,6,6,6,7,0,7,3,8,9,10,11,12,6,5,12,4,13,6,12,14,15,1,11,2,16,17,5,5,18,8,7,3,11,8,18,12,19,19,2,3,13,14,7,18,13,17,18,5,4,7,17,14,15,14,7,2,12,14,12,18,20,1,4,13,4,1,15,19,11,0,13,10,6,13,15,8,20,10,15,17,20,13,17,2,8,10,20,8,12,19,12,16,12,18,1,12,16,6,13,3,10,19,14,15,15,2,2,16,13,20,10,14,14,12,11,7,2,11,13,0,5,0,1,12,8,12,15,17,11,13,9,16,5,3,13,4,2,11,4,1,11,5,18,8,13,1,18,2,7,15,16,3,11,14,6,14,15,1,10,15,9,1,6,20,10,16,20,20,4,6,3,6,13,8,17,4,1,5,7,8,1,14,14,19,17,6,17,6,3,8,7,1,6,15,19,7,17,19,20,4,1,9,10,19,13,0,3,5,9,8,3,0,12,9,1,10,1,1,5,10,1,5,2,9,17,12,10,18,16,0,1,13,8,6,20,20,4,17,18,6,16,17,9,20,19,10,7,18,1,1,20,1,16,16,17,19,9,18,20,16,18,9,1,17,1,3,3,11,10,8,13,16,5,14,3,15,4,0,8,18,0,7,4,16,10,1,19,7,5,13,4,11,0,19,19,12,11,6,19,14,0,10,5,2,7,4,19,19,1,14,14,11,17,0,6
